"","Yr","X3P","X3PA"
"1",1952,0,0
"2",1953,0,0
"3",1954,0,0
"4",1955,0,0
"5",1956,0,0
"6",1957,0,0
"7",1958,0,0
"8",1959,0,0
"9",1960,0,0
"10",1961,0,0
"11",1962,0,0
"12",1963,0,0
"13",1964,0,0
"14",1965,0,0
"15",1966,0,0
"16",1967,0,0
"17",1968,0,0
"18",1969,0,0
"19",1970,0,0
"20",1971,0,0
"21",1972,0,0
"22",1973,0,0
"23",1974,0,0
"24",1975,0,0
"25",1976,0,0
"26",1977,0,0
"27",1978,0,0
"28",1979,0,0
"29",1980,1403,5003
"30",1981,936,3815
"31",1982,1129,4308
"32",1983,1011,4248
"33",1984,1120,4484
"34",1985,1671,5917
"35",1986,1774,6293
"36",1987,2687,8913
"37",1988,2979,9421
"38",1989,4332,13431
"39",1990,4829,14608
"40",1991,5055,15812
"41",1992,5587,16898
"42",1993,6668,19824
"43",1994,7301,21907
"44",1995,12153,33889
"45",1996,14000,38161
"46",1997,14383,39943
"47",1998,10450,30231
"48",1999,6463,19080
"49",2000,11513,32614
"50",2001,11524,32597
"51",2002,12402,35074
"52",2003,12200,34912
"53",2004,12321,35492
"54",2005,13777,38748
"55",2006,14086,39313
"56",2007,14926,41672
"57",2008,16124,44544
"58",2009,16352,44583
"59",2010,15822,44622
"60",2011,15886,44313
"61",2012,12693,36395
"62",2013,17603,49067
"63",2014,19054,52974
"64",2015,19300,55137
"65",2016,20953,59242
"66",2017,23748,66422
"67",2018,25807,71340
"68",2019,27955,78742
"69",2020,25862,72252
